店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
CoolDiving Hostel｜背包輕旅｜潛水課程｜活動行程｜,Cool-Diving,東部地區,臺東縣,951臺東縣綠島鄉中寮52-2號,22.6730017,121.472694,null,null,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→CoolDiving Hostel,藍洞、樓門岩、海底郵筒&海洋之心,https://cool-diving.com/,4.8,11,1.住宿+體驗潛水行程超棒\n2.教練1對1陪同又有耐心\n3.初學者超有安全感,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6CoolDiving+Hostel%EF%BD%9C%E8%83%8C%E5%8C%85%E8%BC%95%E6%97%85%EF%BD%9C%E6%BD%9B%E6%B0%B4%E8%AA%B2%E7%A8%8B%EF%BD%9C%E6%B4%BB%E5%8B%95%E8%A1%8C%E7%A8%8B%EF%BD%9C&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBhSWitfRiJz3lO4evpm9vqv9HrkUg%3A1691648652291&ei=jILUZL2WEa_T2roP6JSb0Aw&ved=0ahUKEwi9jISoutGAAxWvqVYBHWjKBsoQ4dUDCA8&uact=5&oq=%E7%B6%A0%E5%B3%B6CoolDiving+Hostel%EF%BD%9C%E8%83%8C%E5%8C%85%E8%BC%95%E6%97%85%EF%BD%9C%E6%BD%9B%E6%B0%B4%E8%AA%B2%E7%A8%8B%EF%BD%9C%E6%B4%BB%E5%8B%95%E8%A1%8C%E7%A8%8B%EF%BD%9C&gs_lp=Egxnd3Mtd2l6LXNlcnAiR-e2oOWztkNvb2xEaXZpbmcgSG9zdGVs772c6IOM5YyF6LyV5peF772c5r2b5rC06Kqy56iL772c5rS75YuV6KGM56iL772cMgUQABiiBDIFEAAYogQyBRAAGKIEMgUQABiiBDIFEAAYogRInThQpRZY7zRwBHgBkAEAmAH6AaAB0AmqAQUyLjcuMbgBA8gBAPgBAcICBxAjGLADGCfCAgoQABhHGNYEGLADwgIIEAAYiQUYogTCAgQQIxgn4gMEGAAgQYgGAZAGCg&sclient=gws-wiz-serp#lrd=0x346f8d3a030a64ad:0x2140ea2543c5e771,1,,,,",img/store_img/95.jpg
海街日記-OCEAN DIARY 綠島潛水旅宿,Ocean Diary,東部地區,臺東縣,951臺東縣綠島鄉公館50號,22.67537265,121.4909621,null,null,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→海街日記,石朗、樓門岩、大白沙潛水區,https://oceandiary.tw/,5,449,1.海街民宿提供乾淨舒適的住宿環境\n2.潛水教練蔡蔡專業且耐心，讓人能放鬆享受潛水\n3.套裝行程和秘境導覽讓旅程更加豐富充實,"https://www.google.com/search?q=%E6%B5%B7%E8%A1%97%E6%97%A5%E8%A8%98-OCEAN+DIARY+%E7%B6%A0%E5%B3%B6%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBhu7PzNWi-sqtfe78IFcvwLOTRiRA%3A1691648686957&ei=roLUZMr5Oajr2roPqNGliAU&ved=0ahUKEwjKiMi4utGAAxWotVYBHahoCVEQ4dUDCA8&uact=5&oq=%E6%B5%B7%E8%A1%97%E6%97%A5%E8%A8%98-OCEAN+DIARY+%E7%B6%A0%E5%B3%B6%E6%BD%9B%E6%B0%B4%E6%97%85%E5%AE%BF&gs_lp=Egxnd3Mtd2l6LXNlcnAiK-a1t-ihl-aXpeiomC1PQ0VBTiBESUFSWSDntqDls7bmvZvmsLTml4Xlrr8yCxAuGIAEGMcBGK8BMgUQABiABDIEEAAYHjIaEC4YgAQYxwEYrwEYlwUY3AQY3gQY4ATYAQFIyxdQ4gxY4gxwAngBkAEAmAF1oAF1qgEDMC4xuAEDyAEA-AEB-AECqAIKwgIHECMY6gIYJ-IDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#lrd=0x346f8d0392a6ddc3:0xa57b60e10b9b20b,1,,,,",img/store_img/96.jpg
植海的人 Seed of the Ocean,Sead of the Ocean,東部地區,臺東縣,95142臺東縣綠島鄉,22.6754061,121.4905545,07:00,23:30,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→植海的人,公館鼻後礁、石朗、海底郵筒&海洋之心,https://www.facebook.com/seedoceantw/,5,40,1.Olan教練真的很讚~有問必答，在教學上非常認真\n2.可以吸收到很多潛水的知識\n3.非常推薦給有興趣學潛水的人,"https://www.google.com/search?q=%E6%A4%8D%E6%B5%B7%E7%9A%84%E4%BA%BA+Seed+of+the+Ocean&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%A4%8D%E6%B5%B7%E7%9A%84%E4%BA%BA+Seed+of+the+Ocean&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDvSAQcxNjRqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d6b528d570b:0xdf55cdf122047915,1,,,,",img/store_img/97.jpg
藏水綠島館Hide and Sea,Hide and Sea,東部地區,臺東縣,951臺東縣綠島鄉南寮漁港2-9號,22.6569551,121.4755155,09:00,22:00,14:00,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→藏水綠島館,石朗、大白沙潛水區、柚子湖,https://hidensea-greenisland.business.site/?utm_source=gmb&utm_medium=referral,4.7,106,1.教練帶我們去天空之鏡Fun Dive，狀況不錯，從天空之鏡一路看景到將軍岩\n2.牛肉麵和鰻魚飯很好吃\n3.舒適的環境、泳池、熱心的小幫手,https://www.google.com/travel/search?q=%E8%97%8F%E6%B0%B4%E7%B6%A0%E5%B3%B6%E9%A4%A8Hide%20and%20Sea&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&qs=CAEyFENnc0l3WVdWcE11SWxZRDhBUkFCOAJCCwnBQoW0RFQA_BgBQgsJwUKFtERUAPwYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwjAxvHwvdGAAxUAAAAAHQAAAAAQCw&ts=CAESCAoCCAMKAggDGkcKKRInMiUweDM0NmY4ZDM3Y2YyOTQ2Mjc6MHhmYzAwNTQ0NGI0ODU0MmMxEhoSFAoHCOcPEAgYFRIHCOcPEAgYFhgBMgIQAA,img/store_img/98.jpg
戀戀火燒島,null,東部地區,臺東縣,95142臺東縣綠島鄉南寮1-80號,22.65413323,121.4749565,null,null,15:00,null,10:00,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→戀戀火燒島,樓門岩、大白沙潛水區、柴口浮潛區,http://sanasai.okgo.tw/,3.9,370,1.舒適的休息區\n2.老闆真的很健談、熱情、很豪爽\n3.離港口較遠但旁邊就是著名的石朗下水點，對於要潛水的人非常方便,https://www.google.com/travel/search?q=%E6%88%80%E6%88%80%E7%81%AB%E7%87%92%E5%B3%B6&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQxMWYxZmEzMDQ5OjB4NWVhNDkzZWMwMjNiNjE2NxIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyE0Nnb0k1OEx0a2NEOXBOSmVFQUU4AkILCWdhOwLsk6ReGAFCCwlnYTsC7JOkXhgB&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjYy-yJv9GAAxUAAAAAHQAAAAAQDA,img/store_img/99.jpg
綠島走走,null,東部地區,臺東縣,951臺東縣綠島鄉中寮55號,22.6743172,121.4709618,null,null,14:00,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島走走,公館鼻後礁、大白沙潛水區、柚子湖,https://www.instagram.com/zouzou_greenisland/?igshid=lu8u0ng3mldr,5,35,1.舒適的住宿環境和床品質量好\n2.熱情友善的老闆和老闆娘\n3.良好的潛水行程安排和推薦美食店,https://www.google.com/travel/search?q=%E7%B6%A0%E5%B3%B6%E8%B5%B0%E8%B5%B0&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGRkNGM1YTU1NmY1OjB4ZDYyMjc4YjI4ODg0YmY3ZhIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyFENnc0lfXzZTeEtpV25wSFdBUkFCOAJCCwl_v4SIsngi1hgBQgsJf7-EiLJ4ItYYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjYuNjzv9GAAxUAAAAAHQAAAAAQCw,img/store_img/100.jpg
海人生 C'est la vie 綠島海景民宿,null,東部地區,臺東縣,951臺東縣綠島鄉柴口33號,22.67461543,121.4792236,null,null,15:00,null,10:00,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→海人生 C'est la vie 綠島海景民宿,藍洞、石朗、樓門岩,https://www.facebook.com/profile.php?id=100063793102196,4.7,64,1.貼心的老闆娘和小幫手解答了我們所有的問題\n2.配合的教練也超棒的，會細心的講解及帶路\n3.地點不錯離市區很近,https://www.google.com/travel/search?q=%E6%B5%B7%E4%BA%BA%E7%94%9F%20C%27est%20la%20vie%20%E7%B6%A0%E5%B3%B6%E6%B5%B7%E6%99%AF%E6%B0%91%E5%AE%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGRhNTViMDYwNTg5OjB4MTlhZTdlMGMzMjdiNTc5MxIaEhQKBwjnDxAJGAMSBwjnDxAJGAQYATICEAA&qs=CAEyE0Nnb0lrNl90azhQQm45Y1pFQUU4AkILCZNXezIMfq4ZGAFCCwmTV3syDH6uGRgB&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwigksGmwNGAAxUAAAAAHQAAAAAQCw,img/store_img/101.jpg
水面休息潛水員旅宿,null,東部地區,臺東縣,95141臺東縣綠島鄉三鄰3-1號,22.67617812,121.4902052,10:00,20:30,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→水面休息潛水員旅宿,三塊石、柴口浮潛區、海底郵筒&海洋之心,https://www.facebook.com/people/%E6%B0%B4%E9%9D%A2%E4%BC%91%E6%81%AF%E6%BD%9B%E6%B0%B4%E5%93%A1%E6%97%85%E5%AE%BF/100063775576241/?paipv=0&eav=AfbcVCeg7zj4f4CFdmFPSEYtODnu86jtetqdAwpuGDI6lm9Ivt0RtIAxuB0BcU9n4O8&_rdr,4.3,18,"1.老闆教練跟小幫手人非常好\n2.潛水教練老闆很好聊\n3.Demi是一個非常善解人意的民宿主人, PADI下課後會時刻關心上課情形",https://www.google.com/travel/search?q=%E6%B0%B4%E9%9D%A2%E4%BC%91%E6%81%AF%E6%BD%9B%E6%B0%B4%E5%93%A1%E6%97%85%E5%AE%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwNzVmNzNiMzc5OjB4NTg0YTk4NmEzMjg5ZGIxNhIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyE0Nnb0lscmFubEtPTnBxVllFQUU4AkILCRbbiTJqmEpYGAFCCwkW24kyaphKWBgB&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwigp7L8wNGAAxUAAAAAHQAAAAAQDA,img/store_img/102.jpg
炫富·綠島 租車x潛水x套裝旅遊行程,null,東部地區,臺東縣,951臺東縣綠島鄉漁港116號,22.65675008,121.4755061,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→炫富·綠島 租車x潛水x套裝旅遊行程,公館鼻後礁、三塊石、柴口浮潛區,https://www.facebook.com/profile.php?id=100065616814588,5,76,1.店家提供熱心的建議和合理的價格\n2.遇到了親切的店家，提供了快速回覆的服務\n3.店家幫忙安排了臨時的潛水行程,"https://www.google.com/search?q=%E7%82%AB%E5%AF%8C%C2%B7%E7%B6%A0%E5%B3%B6+%E7%A7%9F%E8%BB%8Ax%E6%BD%9B%E6%B0%B4x%E5%A5%97%E8%A3%9D%E6%97%85%E9%81%8A%E8%A1%8C%E7%A8%8B&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%82%AB%E5%AF%8C%C2%B7%E7%B6%A0%E5%B3%B6+%E7%A7%9F%E8%BB%8Ax%E6%BD%9B%E6%B0%B4x%E5%A5%97%E8%A3%9D%E6%97%85%E9%81%8A%E8%A1%8C%E7%A8%8B&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgcIAhAAGIAEMgcIAxAAGIAE0gEHNzMyajBqNKgCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d9f3ca20fff:0xb233064b88823ed5,1,,,,",img/store_img/103.jpg
柒七潛水旅店,null,東部地區,臺東縣,951臺東縣綠島鄉121號,22.67533601,121.4702286,null,null,18:00,null,10:00,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→柒七潛水旅店,藍洞、樓門岩、海底郵筒&海洋之心,http://chichi.yoyogreenisland.com.tw/,4.7,89,1.教練們非常專業且熱情，提供潛水和其他活動的指導和照顧\n2.島上治安良好，步行和騎機車都很方便\n3.安排所有行程時間銜接完美,https://www.google.com/travel/search?q=%E6%9F%92%E4%B8%83%E6%BD%9B%E6%B0%B4%E6%97%85%E5%BA%97&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGRhMmYyMWFlZjE1OjB4YzJjZDMzOWJkZmYzMWYyZRIaEhQKBwjnDxAIGA4SBwjnDxAIGA8YATICEAA&qs=CAEyFENnc0lycjdNXzczenpPYkNBUkFCOAJCCwkuH_PfmzPNwhgBQgsJLh_z35szzcIYAQ&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwiolKyey9GAAxUAAAAAHQAAAAAQDA,img/store_img/104.jpg
島人嶼海,null,東部地區,臺東縣,951臺東縣綠島鄉 2 鄰 113 號,22.67673505,121.4884079,08:00,21:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→島人嶼海,藍洞、石朗、樓門岩,https://bed-and-breakfast-604.business.site/,4.8,52,1.房間寬廣，設施齊全，還有曬裝備的空間\n2.玉米教練教學仔細、專業，並且重視學生的需求\n3.潛水體驗舒服又好玩，教練保障學生的安全,https://www.google.com/travel/search?q=%E5%B3%B6%E4%BA%BA%E5%B6%BC%E6%B5%B7&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440%2C72332589%2C72332591&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpGCigSJjIkMHgzNDZmOGRiM2E4MTc0OGRkOjB4MTdmOGQ4OTI0OGVlYTc1EhoSFAoHCOcPEAgYDRIHCOcPEAgYDhgBMgIQAA&qs=CAEyE0Nnb0k5ZFM3cEpLeDQ3OEJFQUU4AkIJCXXqjiSJjX8BQgkJdeqOJImNfwE&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjQr57fxdOAAxUAAAAAHQAAAAAQCw,img/store_img/105.jpg
綠島9號精品渡假村,null,東部地區,臺東縣,951臺東縣綠島鄉漁港 3-1 號,22.65958311,121.4760671,00:00,23:59,15:00,null,11:00,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島9號精品渡假村,公館鼻後礁、三塊石、柴口浮潛區,https://9padi.com/tw/,4.6,259,1.友善的管家提供良心建議和快速回覆\n2.配合的水上活動商家教練也很熱情跟專業\n3.方便的地理位置和周邊活動選擇,https://www.google.com/travel/search?q=%E7%B6%A0%E5%B3%B69%E8%99%9F%E7%B2%BE%E5%93%81%E6%B8%A1%E5%81%87%E6%9D%91&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440%2C72332589%2C72332591&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwZThiYzk3ZDUzOjB4NzZkODc2MThhYjk4ZDQ4ZBIaEhQKBwjnDxAIGAsSBwjnDxAIGAwYATICEAA&qs=CAEyE0Nnb0lqYW5qM0lyRG5leDJFQUU4AkIJCY3UmKsYdth2QgkJjdSYqxh22HY&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwjIs6-axtOAAxUAAAAAHQAAAAAQCw,img/store_img/106.jpg
高氧旅宿,null,東部地區,臺東縣,951臺東縣綠島鄉南寮142號,22.66733835,121.4696905,00:00,23:59,15:00,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→高氧旅宿,公館鼻後礁、大白沙潛水區、柚子湖,https:/\nitrox32.okgo.tw/,4.6,65,1.搭配潛水活動玩好玩滿吃好喝好！\n2.所有潛水行程的都被照顧的妥妥的\n3.住的吃的潛水的只要找高氧旅宿全部都搞定！,https://www.google.com/travel/search?q=%E9%AB%98%E6%B0%A7%E6%97%85%E5%AE%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440%2C72332589%2C72332591&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwMDhmN2QxMTUzOjB4ZTI5YTUzZjRiOGRjZDFjNBIaEhQKBwjnDxAIGBQSBwjnDxAIGBUYATICEAA&qs=CAEyFENnc0l4S1B6eHN2LWxNM2lBUkFCOAJCCQnE0dy49FOa4kIJCcTR3Lj0U5ri&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&sqi=2&ved=0CAAQ5JsGahcKEwig-ofiydOAAxUAAAAAHQAAAAAQBw,img/store_img/107.jpg
愛上綠島民宿,null,東部地區,臺東縣,951臺東縣綠島鄉漁港路39號,22.6643869,121.471821,08:00,23:30,15:00,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→愛上綠島民宿,藍洞、石朗、樓門岩,https://lovegreen.okgo.tw/,4.7,161,1.親切的管家和小幫手\n2.客製化的行程安排\n3.大哥人很親切，會詳細告知行程；祕境與當地禁忌,https://www.google.com/travel/search?q=%E6%84%9B%E4%B8%8A%E7%B6%A0%E5%B3%B6%E6%B0%91%E5%AE%BF&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72317059%2C72317916%2C72318440%2C72332589%2C72332591&hl=zh-Hant-TW&gl=tw&ssta=1&ts=CAESABpHCikSJzIlMHgzNDZmOGQwOTU2OGJhZDAxOjB4ZGU0ZDM2ZGUxNzgzYmNkMxIaEhQKBwjnDxAJGAMSBwjnDxAJGAQYATICEAA&qs=CAEyFENnc0kwX21Pdk9IYnphYmVBUkFCOAJCCQnTvIMX3jZN3kIJCdO8gxfeNk3e&ap=ugEHcmV2aWV3cw&ictx=1&sa=X&ved=0CAAQ5JsGahcKEwiA8caKzNOAAxUAAAAAHQAAAAAQCw,img/store_img/108.jpg
綠島居福潛水,null,東部地區,臺東縣,951臺東縣綠島鄉78-3號,22.67499387,121.492551,08:00,18:30,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島居福潛水,三塊石、柴口浮潛區、海底郵筒&海洋之心,https://www.facebook.com/LyuDaoChuFuDivng/?locale=zh_TW,4.3,50,1.港口方便\n2.店員及老闆態度友善\n3.專業的潛水服務,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E5%B1%85%E7%A6%8F%E6%BD%9B%E6%B0%B4&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6%E5%B1%85%E7%A6%8F%E6%BD%9B%E6%B0%B4&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBggCEEUYOzIGCAMQRRg8MgYIBBBFGDwyBggFEEUYPNIBBzE1M2owajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346f8c4d30113247:0x24cf53b6d4ccc661,1,,,,",img/store_img/109.jpg
綠島海猴子潛水Green Island Sea Monkey Diving,Green Island Sea Monkey Diving,東部地區,臺東縣,951臺東縣綠島鄉51號,22.67510906,121.4917912,10:00,22:00,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島海猴子潛水,藍洞、樓門岩、海底郵筒&海洋之心,http://seamonkey.okgo.tw/,4.9,138,1.海猴工作人員提供優質的服務和關懷\n2.專業且耐心的潛水教練\n3.乾淨舒適的住宿環境,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E7%8C%B4%E5%AD%90%E6%BD%9B%E6%B0%B4Green+Island+Sea+Monkey+Diving&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6%E6%B5%B7%E7%8C%B4%E5%AD%90%E6%BD%9B%E6%B0%B4Green+Island+Sea+Monkey+Diving&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgcIARAAGIAEMgcIAhAAGIAE0gEHMTUyajBqOagCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x346f8c4d2f4b3b13:0xd033f7a72c1fa4b8,1,,,,",img/store_img/110.jpg
綠島啤酒魚潛水中心,Hey Dive,東部地區,臺東縣,951臺東縣綠島鄉公館99號,22.6739701,121.4926692,00:00,23:59,null,null,null,null,開車自行前往\n大眾運輸→臺東火車站→8101A臺灣好行東部海岸線郵輪式→步行→臺東富岡漁港→綠島南寮漁港→步行→綠島啤酒魚潛水中心,公館鼻後礁、大白沙潛水區、柚子湖,https://heydive.mystrikingly.com/,5,11,1.教練細心教導水中技巧、呼吸和裝備\n2.教學課程緊湊但仍嚴格紮實\n3.與來自各地的伙伴產生革命的情感,"https://www.google.com/search?q=%E7%B6%A0%E5%B3%B6%E5%95%A4+%E9%85%92%E9%AD%9A%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E7%B6%A0%E5%B3%B6%E5%95%A4+%E9%85%92%E9%AD%9A%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDsyBggCEEUYPdIBBzE5M2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x346f8d17a849051b:0x63f46a1e7932ffd4,1,,,,",img/store_img/111.jpg
